iso,name
AT,Burgenland
AT,Steiermark
AT,Tirol
AT,Niederösterreich
AT,Vorarlberg
AT,Oberösterreich
AT,Salzburg
AT,Kärnten
AT,Salzburg
AT,Wien
BE,HainAT
BE,Limburg
BE,Namur
BE,Antwerp
BE,Brussels
BE,Walloon Brabant
BE,Liege
BE,Flemish Brabant
BE,East Flanders
BE,West Flanders
BE,Luxembourg
BG,Grad Sofiya
BG,Montana
BG,Kyustendil
BG,Burgas
BG,Varna
BG,Ruse
BG,Haskovo
BG,Stara Zagora
BG,Plovdiv
BG,Sofia
BG,Veliko Tarnovo
BG,Vratsa
BG,Targovishte
BG,Pleven
BG,Vidin
BG,Pazardzhik
BG,Smolyan
BG,Yambol
BG,Sliven
BG,Razgrad
BG,Kardzhali
BG,Gabrovo
BG,Lovech
BG,Shumen
BG,Dobrich
BG,Silistra
BG,Pernik
BG,Blagoevgrad
HR,Karlovacka
HR,Licko-Senjska
HR,Sisacko-Moslavacka
HR,Viroviticko-Podravska
HR,Zagrebacka
HR,Osjecko-Baranjska
HR,Bjelovarska-Bilogorska
HR,Varaždinska
HR,Grad Zagreb
HR,Vukovarsko-Srijemska
HR,Šibensko-Kninska
HR,Krapinsko-Zagorska
HR,Istarska
HR,Brodsko-Posavska
HR,Brodsko-Posavska
HR,Koprivnicko-Križevacka
HR,Zadarska
HR,Dubrovacko-Neretvanska
HR,Medimurska
HR,Splitsko-Dalmatinska
HR,Primorsko-Goranska
HR,Primorsko-Goranska
HR,Grad Zagreb
CY,Famagusta
CY,Paphos
CY,Limassol
CY,Larnaca
CY,Nicosia
CZ,Karlovarský
CZ,Liberecký
CZ,Královéhradecký
CZ,Moravskoslezský
CZ,Prague
CZ,Jihoceský
CZ,Kraj Vysocina
CZ,Stredoceský
DK,Eysturoyar
DK,Hovedstaden
DK,Nordjylland
DK,Syddanmark
DK,Sjaælland
DK,Midtjylland
ES,Harju
ES,Lääne
ES,Järva
ES,Lääne-Viru
ES,Hiiu
ES,Tartu
ES,Võru
ES,Ida-Viru
ES,Viljandi
ES,Jõgeva
ES,Saare
ES,Valga
ES,Rapla
ES,Põlva
ES,Pärnu
FI,Oulu
FI,Finland Proper
FI,Central Finland
FI,Ostrobothnia
FI,Tavastia Proper
FI,Southern Finland
FI,Satakunta
FI,Finström
FI,Eastern Uusimaa
FI,Northern Ostrobothnia
FI,Päijänne Tavastia
FI,South Karelia
FI,North Karelia
FI,Eastern Finland
FI,Southern Ostrobothnia
